Name of Location,Date First Explored,General Type of Project,Specific Type of Project,Projects Done,Latitude,Longitude,Link
Besmarak Village,06 June 2022,Education,,"- Facilitating children in Besmarak Village with Stationery Project (13 June 2022)
- Bursary Project (01 September 2022)",-10.25523844,123.6678214,
Fisherman Village (Oesapa),08 June 2022,Necessities,,- Providing assistance to fisherman villagers by giving them some rice (12 June 2022),-10.14779106,123.650244,
Nusa Cendana University,14 June 2022,Education,,- Enterpreneurship Seminar (18 August 2022),-10.18217715,123.6032346,
Lamalak Village,20 June 2022,,,- No projects done yet,-10.10653979,124.4209126,
Noelmina Village,23 June 2022,Miscellanous,,"- Dental health projects (20 August 2022 & 29 September 2022)
- Noelmina reading post facilitator; facilitating Noelmina reading post with stationery, drawing books, color pencils, whiteboards, and other equipments (20 August 2022)",-9.981933556,124.1162228,
Tesbatan Village,27 June 2022,,,- No projects done yet,-10.20772514,123.8858562,
Fatukanutu Village,28 June 2022,,,- No projects done yet,-10.16900192,123.90101,
Lifuleo Village,01 August 2022,,,- No projects done yet,-10.32664977,123.4886538,
Sumlili Village,02 August 2022,,,- No projects done yet,-10.30140704,123.5471801,
Saenam Village,27 August 2022,,,- No projects done yet,-9.541886002,124.3027047,
Eastern Baumata Village,08 September 2022,,,- No projects done yet,-10.19729789,123.694704,
Merbaun Village,06 September 2022,,,- No projects done yet,-10.3196435,123.7124306,
Sahraen Village,07 September 2022,,,- No projects done yet,-10.32359056,123.8034962,
Ponain Village,14 September 2022,,,- No projects done yet,-10.20704769,123.8534067,
Oeltua Village,15 September 2022,,,- No projects done yet,-10.21400319,123.6769161,
Kera Island,23 September 2022,,,- No projects done yet,-10.09909142,123.5500429,
Pukdale Village,18 October 2022,,,- No projects done yet,-10.12141199,123.8310406,
Mata Air Village,08 November 2022,,,- No projects done yet,-10.13260343,123.6861953,
Oelpuah Village,09 November 2022,,,- No projects done yet,-10.146636,123.744867,
Oben Village,15 November 2022,Sustainability,,- No projects done yet,-10.2589177,123.6901352,
